state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
28600	0.009	0.009	0.009	0	6	0.754	0.017	3.923	29.62	-1138.20	-0.00	0.00
28700	0.007	0.007	0.007	0	4	0.285	0.017	3.923	30.74	-1137.79	0.29	0.00
28800	0.007	0.007	0.007	0	6	0.249	0.017	3.923	30.96	-1138.19	0.18	0.00
28900	0.008	0.008	0.008	0	4	0.516	0.015	3.913	29.98	-1137.79	0.00	0.00
29000	0.009	0.009	0.009	0	3	0.817	0.009	3.913	29.51	-1137.50	-0.00	0.20
29100	0.008	0.008	0.008	0	4	0.535	0.007	4.060	26.80	-1137.79	0.00	0.00
29200	0.007	0.007	0.007	0	4	0.361	0.009	4.060	26.47	-1137.79	-0.00	0.00
29300	0.007	0.007	0.007	0	6	0.323	0.009	3.898	32.65	-1138.19	0.00	0.00
29400	0.009	0.009	0.009	0	5	0.425	0.009	3.898	33.37	-1138.01	0.00	-7.64
29500	0.010	0.010	0.010	0	6	0.685	0.011	3.898	29.34	-1138.20	-0.15	0.00
29600	0.008	0.008	0.008	0	4	1.392	0.008	3.898	32.97	-1137.79	-0.00	0.00
29700	0.010	0.010	0.010	0	5	2.794	0.014	4.022	28.14	-1138.03	0.00	0.00
29800	0.008	0.008	0.008	0	6	2.053	0.020	4.022	28.69	-1138.21	-0.16	0.00
29900	0.011	0.011	0.011	0	6	1.120	0.022	4.022	27.47	-1138.20	0.00	-0.09
30000	0.010	0.010	0.010	0	5	0.610	0.044	4.022	30.13	-1138.01	0.00	0.00
30100	0.004	0.004	0.004	0	7	0.139	0.058	4.022	31.82	-1138.35	0.00	0.00
30200	0.006	0.006	0.006	0	7	0.283	0.040	3.937	34.38	-1138.35	0.00	-7.98
30300	0.006	0.006	0.006	0	7	0.360	0.060	3.849	32.27	-1138.35	-0.13	0.00
30400	0.008	0.008	0.008	0	7	0.484	0.032	3.849	31.26	-1138.35	0.15	0.00
30500	0.006	0.006	0.006	0	5	0.491	0.047	3.849	31.07	-1138.01	0.00	-8.01
30600	0.007	0.007	0.007	0	6	1.799	0.036	3.849	27.82	-1138.20	0.00	-7.85
30700	0.008	0.008	0.008	0	7	0.603	0.036	3.966	32.84	-1138.35	0.00	-7.73
30800	0.008	0.008	0.008	0	9	0.410	0.015	3.966	32.16	-1138.60	-0.00	0.00
30900	0.005	0.005	0.005	0	10	0.219	0.015	3.849	32.18	-1138.70	0.10	0.00
31000	0.008	0.008	0.008	0	11	0.186	0.016	3.849	29.85	-1138.80	-0.00	0.00
31100	0.009	0.009	0.009	0	10	0.118	0.016	3.849	32.78	-1138.70	0.11	0.00
31200	0.009	0.009	0.009	0	6	0.417	0.014	3.819	30.53	-1138.19	0.00	-7.53
31300	0.008	0.008	0.008	0	4	0.326	0.015	3.819	32.78	-1137.79	0.00	-0.45
31400	0.005	0.005	0.005	0	7	0.442	0.070	3.819	29.08	-1138.35	0.00	-8.16
31500	0.009	0.009	0.009	0	5	0.841	0.024	3.819	32.12	-1138.01	0.00	0.00
31600	0.007	0.007	0.007	0	5	1.406	0.027	4.060	28.68	-1138.02	0.00	-7.83
31700	0.006	0.006	0.006	0	6	0.382	0.050	4.060	31.81	-1138.19	0.00	0.00
31800	0.006	0.006	0.006	0	7	1.527	0.055	4.060	28.03	-1138.36	0.00	0.00
31900	0.010	0.010	0.010	0	7	0.211	0.039	4.060	28.66	-1138.35	0.00	-7.51
32000	0.008	0.008	0.008	0	7	0.349	0.021	4.060	31.57	-1138.35	0.00	0.00
32100	0.008	0.008	0.008	0	5	0.605	0.016	4.060	33.53	-1138.01	0.00	0.00
32200	0.008	0.008	0.008	0	6	0.103	0.020	3.821	32.04	-1138.19	0.18	0.00
32300	0.006	0.006	0.006	0	7	0.489	0.025	3.821	33.58	-1138.35	0.00	0.00
32400	0.006	0.006	0.006	0	5	0.890	0.018	3.821	29.75	-1138.01	0.00	0.00
32500	0.008	0.008	0.008	0	4	2.403	0.018	3.813	30.69	-1137.80	0.29	0.00
32600	0.006	0.006	0.006	0	4	1.289	0.082	3.911	30.95	-1137.79	-0.00	0.29
32700	0.007	0.007	0.007	0	5	1.540	0.051	3.911	30.29	-1138.02	0.00	-7.90
32800	0.007	0.007	0.007	0	6	0.264	0.071	3.911	30.37	-1138.19	0.00	-7.82
32900	0.005	0.005	0.005	0	7	0.886	0.071	3.964	32.54	-1138.35	-0.16	0.00
33000	0.004	0.004	0.004	0	10	0.286	0.071	3.964	30.10	-1138.70	-0.11	0.00
33100	0.005	0.005	0.005	0	8	0.236	0.050	3.964	34.12	-1138.48	0.00	0.00
33200	0.006	0.006	0.006	0	8	0.576	0.035	3.964	31.56	-1138.48	0.00	0.00
33300	0.009	0.009	0.009	0	8	0.633	0.025	3.964	31.26	-1138.49	-0.13	0.00
33400	0.006	0.006	0.006	0	11	0.284	0.028	3.964	28.87	-1138.80	-0.00	0.00
33500	0.007	0.007	0.007	0	9	0.308	0.028	3.964	30.17	-1138.60	0.00	0.00
33600	0.006	0.006	0.006	0	6	0.567	0.060	3.964	32.24	-1138.20	0.00	0.00
33700	0.006	0.006	0.006	0	7	0.436	0.060	3.802	29.28	-1138.35	0.00	0.00
33800	0.004	0.004	0.004	0	5	0.751	0.065	3.975	32.83	-1138.01	0.00	0.00
33900	0.008	0.008	0.008	0	6	2.845	0.065	3.975	27.19	-1138.21	0.00	-7.66
34000	0.006	0.006	0.006	0	5	2.734	0.060	3.975	28.03	-1138.03	0.00	0.00
34100	0.005	0.005	0.005	0	4	1.068	0.085	3.975	30.80	-1137.79	0.29	0.00
34200	0.004	0.004	0.004	0	4	1.312	0.073	3.975	30.60	-1137.79	-0.00	0.00
34300	0.005	0.005	0.005	0	6	1.212	0.054	3.896	30.83	-1138.20	0.00	-8.17
34400	0.006	0.006	0.006	0	7	2.634	0.056	3.924	27.47	-1138.37	0.00	-8.03
34500	0.007	0.007	0.007	0	5	2.396	0.033	3.989	30.04	-1138.02	0.00	0.00
34600	0.006	0.006	0.006	0	4	0.378	0.038	3.989	33.44	-1137.79	-0.22	0.00
34700	0.006	0.006	0.006	0	5	0.588	0.038	3.989	31.23	-1138.01	0.18	0.00
34800	0.007	0.007	0.007	0	6	0.732	0.038	3.848	32.50	-1138.20	0.00	-7.89
34900	0.008	0.008	0.008	0	4	0.938	0.039	3.940	33.19	-1137.79	0.00	-7.75
35000	0.007	0.007	0.007	0	4	1.348	0.025	3.940	33.04	-1137.79	0.00	0.00
35100	0.008	0.008	0.008	0	6	0.302	0.044	3.940	34.19	-1138.19	-0.00	0.00
35200	0.005	0.005	0.005	0	13	0.153	0.044	3.940	34.26	-1138.97	0.00	0.00
35300	0.006	0.006	0.006	0	11	0.147	0.044	3.940	32.78	-1138.80	0.00	0.00
35400	0.006	0.006	0.006	0	5	0.658	0.055	3.940	34.70	-1138.01	0.00	0.00
35500	0.005	0.005	0.005	0	7	0.636	0.057	3.918	33.16	-1138.35	0.00	-0.16
35600	0.005	0.005	0.005	0	9	0.111	0.077	3.918	32.88	-1138.60	0.00	0.00
35700	0.006	0.006	0.006	0	7	0.430	0.077	3.872	29.26	-1138.35	0.13	0.00
35800	0.003	0.003	0.003	0	6	2.033	0.066	3.942	25.50	-1138.20	-0.00	0.00
35900	0.008	0.008	0.008	0	3	1.664	0.066	3.942	27.20	-1137.50	0.00	0.00
36000	0.009	0.009	0.009	0	3	1.644	0.066	3.942	26.94	-1137.51	0.00	-7.64
36100	0.005	0.005	0.005	0	3	2.485	0.097	3.912	24.36	-1137.51	-0.29	0.00
36200	0.009	0.009	0.009	0	4	2.588	0.038	3.912	27.28	-1137.80	-0.29	0.00
36300	0.008	0.008	0.008	0	3	2.041	0.049	3.912	27.79	-1137.51	0.41	0.00
36400	0.009	0.009	0.009	0	4	0.562	0.049	3.905	26.62	-1137.79	0.00	0.00
36500	0.009	0.009	0.009	0	4	1.612	0.047	3.905	25.99	-1137.79	0.00	0.00
36600	0.007	0.007	0.007	0	3	1.358	0.048	3.979	28.18	-1137.50	0.00	0.00
36700	0.008	0.008	0.008	0	4	0.881	0.025	3.979	28.93	-1137.79	0.00	0.00
36800	0.009	0.009	0.009	0	6	0.537	0.021	3.979	26.73	-1138.20	0.00	0.00
36900	0.007	0.007	0.007	0	7	0.956	0.020	3.979	25.61	-1138.35	0.16	0.00
37000	0.010	0.010	0.010	0	4	0.825	0.029	3.979	31.71	-1137.79	-0.00	0.00
37100	0.008	0.008	0.008	0	7	0.436	0.029	3.979	31.24	-1138.35	-0.00	0.00
37200	0.008	0.008	0.008	0	8	0.595	0.031	3.989	32.79	-1138.48	0.00	0.00
37300	0.009	0.009	0.009	0	7	0.355	0.033	3.989	29.24	-1138.35	0.00	0.00
37400	0.008	0.008	0.008	0	8	0.179	0.031	3.989	30.25	-1138.48	-0.13	0.00
37500	0.005	0.005	0.005	0	7	0.416	0.031	3.989	31.28	-1138.35	0.13	0.00
37600	0.008	0.008	0.008	0	7	0.192	0.031	3.989	31.83	-1138.35	0.00	0.00
37700	0.005	0.005	0.005	0	5	0.884	0.037	3.989	32.72	-1138.01	0.00	0.00
37800	0.008	0.008	0.008	0	5	2.108	0.025	3.989	29.96	-1138.02	0.00	0.00
37900	0.007	0.007	0.007	0	5	1.364	0.032	3.989	31.72	-1138.02	0.00	-7.89
38000	0.007	0.007	0.007	0	7	0.188	0.031	3.989	30.23	-1138.35	0.00	0.00
38100	0.008	0.008	0.008	0	5	0.649	0.007	3.983	32.93	-1138.01	0.00	-7.75
38200	0.006	0.006	0.006	0	8	0.302	0.011	3.809	31.68	-1138.48	0.00	0.00
38300	0.007	0.007	0.007	0	7	0.669	0.011	4.014	32.76	-1138.35	-0.13	0.00
38400	0.006	0.006	0.006	0	4	0.509	0.013	4.013	31.45	-1137.79	0.00	0.00
38500	0.007	0.007	0.007	0	13	0.195	0.015	4.013	29.37	-1138.97	0.00	0.00
38600	0.005	0.005	0.005	0	12	0.116	0.047	4.013	32.11	-1138.89	-0.00	0.00
38700	0.006	0.006	0.006	0	15	0.115	0.047	3.857	27.38	-1139.11	0.00	-0.34
38800	0.007	0.007	0.007	0	14	0.227	0.047	3.857	26.68	-1139.04	0.00	-7.83
38900	0.007	0.007	0.007	0	11	0.203	0.026	3.796	29.18	-1138.80	0.00	-7.77
39000	0.006	0.006	0.006	0	7	0.433	0.062	3.810	30.28	-1138.35	-0.00	0.00
39100	0.007	0.007	0.007	0	6	0.525	0.074	4.086	28.75	-1138.19	0.00	-7.86
39200	0.004	0.004	0.004	0	10	0.851	0.062	3.771	26.21	-1138.71	0.10	0.00
39300	0.004	0.004	0.004	0	8	0.472	0.062	3.823	26.20	-1138.48	-0.00	0.00
39400	0.005	0.005	0.005	0	6	0.168	0.053	3.823	28.63	-1138.19	0.00	-0.15
39500	0.007	0.007	0.007	0	4	0.469	0.034	3.823	32.66	-1137.79	0.00	-7.77
39600	0.008	0.008	0.008	0	4	1.551	0.058	3.823	30.30	-1137.79	0.00	0.00
39700	0.006	0.006	0.006	0	6	0.271	0.058	3.823	32.08	-1138.19	0.00	0.00
39800	0.006	0.006	0.006	0	5	1.179	0.056	3.823	29.67	-1138.02	0.00	0.00
39900	0.006	0.006	0.006	0	4	0.557	0.057	4.019	32.36	-1137.79	0.29	0.00
40000	0.007	0.007	0.007	0	5	0.435	0.037	4.019	32.74	-1138.01	0.00	-7.81
40100	0.009	0.009	0.009	0	6	1.229	0.037	3.976	30.48	-1138.20	-0.16	0.00
40200	0.008	0.008	0.008	0	5	1.166	0.023	3.976	31.39	-1138.02	-0.00	0.00
40300	0.008	0.008	0.008	0	4	1.163	0.014	3.935	33.29	-1137.79	0.00	0.00
40400	0.009	0.009	0.009	0	6	0.248	0.011	3.935	33.40	-1138.19	0.00	-7.53
40500	0.009	0.009	0.009	0	4	0.758	0.017	3.935	33.48	-1137.79	0.00	0.00
40600	0.005	0.005	0.005	0	8	0.804	0.017	3.935	30.89	-1138.49	0.00	-8.08
40700	0.006	0.006	0.006	0	6	0.859	0.017	3.935	32.73	-1138.20	0.00	0.00
40800	0.006	0.006	0.006	0	5	1.506	0.034	3.985	33.49	-1138.02	0.00	0.00
40900	0.007	0.007	0.007	0	4	1.162	0.034	3.985	32.80	-1137.79	-0.22	0.00
41000	0.004	0.004	0.004	0	4	5.087	0.049	3.985	26.73	-1137.81	0.00	-8.37
41100	0.006	0.006	0.006	0	4	1.734	0.049	3.985	31.89	-1137.79	0.00	-7.93
41200	0.010	0.010	0.010	0	4	1.344	0.010	3.941	26.85	-1137.79	0.00	0.00
41300	0.009	0.009	0.009	0	8	0.145	0.030	4.030	25.47	-1138.48	0.00	-7.56
41400	0.006	0.006	0.006	0	5	1.764	0.030	4.030	20.98	-1138.02	-0.00	0.00
41500	0.006	0.006	0.006	0	5	0.491	0.028	4.023	28.13	-1138.01	0.22	0.00
41600	0.010	0.010	0.010	0	4	0.139	0.028	4.023	27.54	-1137.79	0.00	0.00
41700	0.009	0.009	0.009	0	3	2.132	0.028	4.023	27.76	-1137.51	0.00	0.00
41800	0.009	0.009	0.009	0	4	0.286	0.049	4.023	26.85	-1137.79	0.00	0.00
41900	0.011	0.011	0.011	0	4	0.699	0.049	4.023	24.70	-1137.79	0.29	0.00
42000	0.008	0.008	0.008	0	5	0.315	0.072	4.023	25.34	-1138.01	0.00	-7.67
42100	0.009	0.009	0.009	0	3	0.562	0.063	3.864	27.07	-1137.50	0.00	-7.55
42200	0.007	0.007	0.007	0	3	2.596	0.063	3.927	26.98	-1137.51	0.00	-0.12
42300	0.007	0.007	0.007	0	3	1.594	0.063	3.927	27.51	-1137.50	0.00	0.00
42400	0.006	0.006	0.006	0	5	1.705	0.063	3.900	31.77	-1138.02	-0.00	0.00
42500	0.005	0.005	0.005	0	4	0.899	0.063	3.900	31.92	-1137.79	0.00	-8.23
42600	0.005	0.005	0.005	0	4	0.876	0.063	4.003	31.37	-1137.79	0.29	0.00
42700	0.005	0.005	0.005	0	5	1.343	0.063	4.003	29.26	-1138.02	0.00	-8.24
42800	0.009	0.009	0.009	0	6	4.130	0.063	4.003	24.69	-1138.22	-0.01	0.50
42900	0.007	0.007	0.007	0	4	2.311	0.046	4.003	31.18	-1137.80	0.29	0.00
43000	0.006	0.006	0.006	0	4	1.213	0.033	4.007	31.23	-1137.79	0.00	0.00
43100	0.006	0.006	0.006	0	5	0.391	0.028	4.007	33.59	-1138.01	0.00	0.00
43200	0.009	0.009	0.009	0	4	1.398	0.028	4.007	31.85	-1137.79	0.00	-7.62
43300	0.006	0.006	0.006	0	5	1.013	0.030	3.830	32.82	-1138.01	-0.00	0.00
43400	0.006	0.006	0.006	0	6	0.200	0.063	3.830	32.20	-1138.19	0.00	0.00
43500	0.005	0.005	0.005	0	8	0.513	0.063	3.830	31.80	-1138.48	-0.00	0.00
43600	0.008	0.008	0.008	0	7	0.845	0.041	3.830	31.47	-1138.35	0.15	0.00
43700	0.009	0.009	0.009	0	8	0.204	0.039	3.830	29.49	-1138.48	0.00	-7.59
43800	0.006	0.006	0.006	0	4	0.332	0.006	4.042	31.53	-1137.79	0.00	-7.98
43900	0.005	0.005	0.005	0	6	0.449	0.005	4.042	29.11	-1138.19	0.00	-8.09
44000	0.008	0.008	0.008	0	7	0.195	0.051	4.042	29.76	-1138.35	0.00	0.00
44100	0.006	0.006	0.006	0	8	0.504	0.069	4.000	29.65	-1138.48	0.12	0.00
44200	0.005	0.005	0.005	0	7	0.388	0.069	4.000	29.77	-1138.35	0.00	0.00
44300	0.005	0.005	0.005	0	9	0.520	0.076	3.905	28.97	-1138.60	-0.00	0.00
44400	0.004	0.004	0.004	0	8	0.293	0.080	3.905	33.92	-1138.48	-0.00	0.46
44500	0.006	0.006	0.006	0	8	0.348	0.012	3.961	36.69	-1138.48	0.12	0.00
44600	0.009	0.009	0.009	0	10	0.254	0.010	3.961	32.87	-1138.71	-0.11	0.00
44700	0.008	0.008	0.008	0	11	0.391	0.008	4.009	29.80	-1138.80	0.00	0.00
44800	0.006	0.006	0.006	0	8	0.370	0.008	3.949	32.26	-1138.48	-0.00	0.00
44900	0.007	0.007	0.007	0	9	0.308	0.045	3.868	31.62	-1138.60	0.00	-7.82
45000	0.007	0.007	0.007	0	8	0.785	0.047	3.925	31.19	-1138.49	0.00	0.00
45100	0.006	0.006	0.006	0	5	0.423	0.027	3.925	35.63	-1138.01	0.00	-8.05
45200	0.009	0.009	0.009	0	5	0.863	0.027	3.925	32.03	-1138.01	-0.00	0.00
45300	0.007	0.007	0.007	0	4	0.831	0.047	3.925	33.35	-1137.79	0.00	-7.88
45400	0.008	0.008	0.008	0	5	0.985	0.052	3.925	31.57	-1138.02	0.00	0.00
45500	0.004	0.004	0.004	0	4	0.534	0.069	4.035	30.27	-1137.79	-0.00	0.33
45600	0.006	0.006	0.006	0	5	0.357	0.045	4.035	33.71	-1138.01	0.00	0.00
45700	0.007	0.007	0.007	0	5	1.986	0.031	4.035	30.79	-1138.02	0.00	0.00
45800	0.010	0.010	0.010	0	5	0.548	0.031	4.035	31.42	-1138.01	-0.00	0.00
45900	0.007	0.007	0.007	0	4	0.243	0.031	3.944	33.96	-1137.79	0.00	0.00
46000	0.006	0.006	0.006	0	8	0.195	0.031	3.944	33.20	-1138.48	0.00	-8.00
46100	0.005	0.005	0.005	0	5	0.455	0.031	3.944	32.81	-1138.01	0.00	0.00
46200	0.006	0.006	0.006	0	4	2.220	0.080	3.944	30.24	-1137.80	0.00	0.00
46300	0.006	0.006	0.006	0	4	2.534	0.080	3.970	29.73	-1137.80	0.00	-0.06
46400	0.008	0.008	0.008	0	3	3.346	0.087	3.970	24.55	-1137.51	0.00	-7.71
46500	0.005	0.005	0.005	0	3	2.466	0.087	3.970	24.71	-1137.51	0.00	0.00
46600	0.007	0.007	0.007	0	4	1.158	0.056	3.970	25.93	-1137.79	-0.00	0.00
46700	0.014	0.014	0.014	0	3	1.052	0.027	3.825	24.14	-1137.50	-0.29	0.00
46800	0.009	0.009	0.009	0	6	0.439	0.031	4.036	26.22	-1138.19	0.00	0.00
46900	0.009	0.009	0.009	0	10	0.102	0.002	4.036	22.11	-1138.70	-0.00	0.00
47000	0.009	0.009	0.009	0	13	0.133	0.019	4.036	24.06	-1138.97	-0.08	0.00
47100	0.008	0.008	0.008	0	17	0.094	0.019	4.036	26.92	-1139.23	-0.06	0.00
47200	0.005	0.005	0.005	0	16	0.340	0.021	3.937	31.48	-1139.18	0.06	0.00
47300	0.003	0.003	0.003	0	16	0.407	0.052	3.937	33.80	-1139.18	-0.06	0.00
47400	0.005	0.005	0.005	0	16	0.064	0.052	3.944	36.54	-1139.17	0.00	-8.26
47500	0.005	0.005	0.005	0	21	0.083	0.030	3.944	37.72	-1139.45	-0.01	0.00
47600	0.004	0.004	0.004	0	17	0.092	0.030	3.841	37.80	-1139.23	0.00	-0.17
47700	0.009	0.009	0.009	0	15	0.074	0.030	3.890	26.55	-1139.11	-0.00	0.00
47800	0.006	0.006	0.006	0	13	0.199	0.009	3.890	30.23	-1138.97	-0.00	0.00
47900	0.007	0.007	0.007	0	14	0.107	0.014	3.890	27.96	-1139.04	0.07	0.00
48000	0.008	0.008	0.008	0	16	0.148	0.023	3.944	31.82	-1139.17	-0.00	0.00
48100	0.008	0.008	0.008	0	16	0.187	0.031	3.944	26.15	-1139.18	0.06	0.00
48200	0.007	0.007	0.007	0	13	0.105	0.021	3.854	33.78	-1138.97	0.08	0.00
48300	0.005	0.005	0.005	0	11	0.187	0.006	3.812	34.67	-1138.80	0.10	0.00
48400	0.004	0.004	0.004	0	15	0.772	0.006	3.812	31.96	-1139.12	-0.00	0.07
48500	0.006	0.006	0.006	0	13	0.394	0.006	3.791	35.26	-1138.97	0.00	0.00
48600	0.005	0.005	0.005	0	14	0.626	0.006	3.791	34.34	-1139.05	-0.00	0.07
48700	0.006	0.006	0.006	0	14	0.905	0.008	3.843	29.89	-1139.05	-0.00	0.00
48800	0.008	0.008	0.008	0	17	0.206	0.008	3.843	26.59	-1139.24	0.00	-0.40
48900	0.007	0.007	0.007	0	15	0.330	0.006	3.843	28.71	-1139.11	0.00	0.00
49000	0.006	0.006	0.006	0	15	0.258	0.005	3.843	37.18	-1139.11	0.00	-0.15
49100	0.003	0.003	0.003	0	16	0.099	0.006	3.843	31.71	-1139.17	0.00	-8.54
49200	0.006	0.006	0.006	0	17	0.161	0.006	3.843	33.88	-1139.24	0.06	0.00
49300	0.003	0.003	0.003	0	19	0.147	0.057	3.843	29.92	-1139.35	0.00	0.00
49400	0.002	0.002	0.002	0	18	0.095	0.088	3.865	29.68	-1139.29	-0.01	0.00
49500	0.003	0.003	0.003	0	17	0.108	0.088	3.865	30.52	-1139.23	0.00	0.00
49600	0.002	0.002	0.002	0	19	0.205	0.088	3.865	30.54	-1139.35	0.00	0.00
49700	0.001	0.001	0.001	0	18	0.128	0.088	3.795	37.08	-1139.29	0.00	0.00
49800	0.001	0.001	0.001	0	21	0.123	0.088	3.795	37.95	-1139.45	0.00	0.00
49900	0.001	0.001	0.001	0	22	0.155	0.088	3.795	33.79	-1139.49	-0.04	0.00
50000	0.001	0.001	0.001	0	25	0.106	0.088	3.795	37.46	-1139.62	0.00	0.00
