state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
7600	0.015	0.300	0.015	1	1	1.313	0.004	4.028	15.77	-1136.77	0.00	0.69
7700	0.014	0.074	0.014	1	0	0.000	0.006	3.953	12.42	-1135.73	-0.03	0.00
7800	0.015	0.315	0.015	1	0	0.000	0.007	3.953	12.93	-1135.73	-0.05	0.00
7900	0.012	0.383	0.012	1	1	1.095	0.010	3.953	11.64	-1136.77	0.00	0.00
8000	0.016	0.500	0.016	1	0	0.000	0.010	3.953	12.62	-1135.73	-0.00	-0.69
8100	0.014	0.373	0.014	1	0	0.000	0.010	4.030	13.50	-1135.73	-0.04	0.00
8200	0.015	0.373	0.015	1	2	0.341	0.010	4.030	10.75	-1137.46	-0.41	0.00
8300	0.013	0.290	0.013	1	4	0.814	0.010	4.030	15.61	-1138.16	0.00	-0.15
8400	0.010	0.260	0.010	1	2	0.920	0.010	4.030	15.41	-1137.46	0.00	-7.53
8500	0.015	0.359	0.015	1	2	0.781	0.011	4.030	17.88	-1137.46	0.00	-7.13
8600	0.009	0.260	0.009	1	6	1.018	0.001	4.030	20.57	-1138.57	-0.06	0.00
8700	0.010	0.232	0.010	1	3	1.790	0.001	4.030	19.78	-1137.87	-0.04	0.00
8800	0.014	0.598	0.014	1	1	2.622	0.001	4.016	17.20	-1136.78	0.00	0.00
8900	0.011	0.372	0.011	1	1	0.964	0.020	3.917	19.47	-1136.77	0.00	0.00
9000	0.013	0.303	0.013	1	3	0.149	0.020	3.943	18.01	-1137.87	-0.41	0.00
9100	0.009	0.227	0.009	1	8	0.155	0.020	3.943	13.09	-1138.85	0.00	-7.60
9200	0.014	0.345	0.014	1	4	0.180	0.020	3.943	17.38	-1138.15	-0.00	-0.69
9300	0.009	0.345	0.009	1	3	0.164	0.020	3.943	23.51	-1137.87	0.00	-0.33
9400	0.013	0.296	0.013	1	2	0.706	0.020	3.943	23.73	-1137.46	-0.07	0.00
9500	0.009	0.296	0.009	1	2	1.537	0.012	3.943	25.27	-1137.47	-0.00	-0.69
9600	0.010	0.425	0.010	1	2	3.824	0.012	3.943	24.51	-1137.47	0.00	0.69
9700	0.010	0.503	0.010	1	2	1.087	0.009	3.943	25.35	-1137.46	0.00	0.00
9800	0.010	0.531	0.010	1	3	0.578	0.024	3.943	24.52	-1137.87	0.00	-7.49
9900	0.013	0.572	0.013	1	2	1.765	0.024	3.974	22.38	-1137.47	-0.00	0.46
10000	0.013	0.765	0.013	1	1	1.365	0.034	3.974	19.01	-1136.77	-0.00	0.00
10100	0.016	0.539	0.016	1	1	1.365	0.034	3.974	17.41	-1136.77	-0.69	0.00
10200	0.014	0.237	0.014	1	1	1.110	0.048	3.974	18.36	-1136.77	0.00	-7.20
10300	0.009	0.136	0.009	1	1	1.110	0.048	4.139	16.99	-1136.77	-0.69	0.00
10400	0.012	0.528	0.012	1	1	1.621	0.050	4.139	13.80	-1136.77	-0.69	0.00
10500	0.015	0.642	0.015	1	2	3.197	0.012	4.139	15.77	-1137.47	0.00	0.69
10600	0.012	0.524	0.012	1	1	3.092	0.011	3.972	20.12	-1136.77	-0.00	0.00
